,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
30,Sen to Chihiro no kamikakushi,(2001),125 min,8.6,96        ,"793,474",$10.06M,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
31,Cidade de Deus,(2002),130 min,8.6,79        ,"772,745",$7.56M,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
32,La vita è bella,(1997),116 min,8.6,59        ,"712,974",$57.60M,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
33,Shichinin no samurai,(1954),207 min,8.6,98        ,"353,715",$0.27M,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
34,It's a Wonderful Life,(1946),130 min,8.6,89        ,"473,307",#21,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
35,Seppuku,(1962),133 min,8.6,85        ,"61,413",#46,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
36,Sita Ramam,(2022),163 min,8.6,****,"60,656",%^%^%^,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her."
37,Gladiator,(2000),155 min,8.5,67        ,"1,540,415",$187.71M,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
38,Back to the Future,(1985),116 min,8.5,87        ,"1,243,353",$210.61M,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
39,The Departed,(2006),151 min,8.5,85        ,"1,360,331",$132.38M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
40,Gisaengchung,(2019),132 min,8.5,96        ,"860,435",$53.37M,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
41,Léon,(1994),110 min,8.5,64        ,"1,192,845",$19.50M,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
42,Whiplash,(2014),106 min,8.5,89        ,"909,416",$13.09M,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
43,Alien,(1979),117 min,8.5,89        ,"905,942",$78.90M,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.
44,The Prestige,(2006),130 min,8.5,66        ,"1,368,531",$53.09M,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
45,The Lion King,(1994),88 min,8.5,88        ,"1,089,107",$422.78M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
46,The Usual Suspects,(1995),106 min,8.5,77        ,"1,106,785",$23.34M,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
47,American History X,(1998),119 min,8.5,62        ,"1,145,793",$6.72M,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps."
48,The Pianist,(2002),150 min,8.5,85        ,"859,125",$32.57M,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
49,Psycho,(1960),109 min,8.5,97        ,"689,577",$32.00M,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
50,Casablanca,(1942),102 min,8.5,100        ,"584,989",$1.02M,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
