,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
219,Gone Girl,(2014),149 min,8.1,79        ,"1,011,522",$167.77M,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
220,Rush,(I) (2013),123 min,8.1,74        ,"492,374",$26.95M,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
221,Stand by Me,(1986),89 min,8.1,75        ,"418,823",$52.29M,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."
222,Catch Me If You Can,(2002),141 min,8.1,75        ,"1,025,606",$164.62M,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
223,The Big Lebowski,(1998),117 min,8.1,71        ,"829,076",$17.50M,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
224,Hacksaw Ridge,(2016),139 min,8.1,71        ,"552,446",$67.21M,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
225,Harry Potter and the Deathly Hallows: Part 2,(2011),130 min,8.1,85        ,"903,448",$381.01M,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
226,Rocky,(1976),120 min,8.1,70        ,"600,419",$117.24M,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
227,Dead Poets Society,(1989),128 min,8.1,79        ,"511,965",$95.86M,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
228,Ratatouille,(2007),111 min,8.1,96        ,"770,375",$206.45M,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
229,Inside Out,(I) (2015),95 min,8.1,94        ,"739,594",$356.46M,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
230,Ah-ga-ssi,(2016),145 min,8.1,85        ,"157,900",$2.01M,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
231,The Wizard of Oz,(1939),102 min,8.1,92        ,"411,485",$2.08M,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
232,Logan,(2017),137 min,8.1,77        ,"790,624",$226.28M,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
233,Into the Wild,(2007),148 min,8.1,73        ,"636,432",$18.35M,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
234,Platoon,(1986),120 min,8.1,92        ,"424,157",$138.53M,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
235,Trainspotting,(1996),93 min,8.1,83        ,"702,439",$16.50M,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
236,Before Sunrise,(1995),101 min,8.1,77        ,"321,564",$5.54M,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
237,Spotlight,(I) (2015),129 min,8.1,93        ,"483,453",$45.06M,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
238,"Monsters, Inc.",(2001),92 min,8.1,79        ,"935,173",$289.92M,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
239,Fargo,(1996),98 min,8.1,86        ,"694,274",$24.61M,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
240,12 Years a Slave,(2013),134 min,8.1,96        ,"717,315",$56.67M,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
241,Room,(I) (2015),118 min,8.1,86        ,"432,847",$14.68M,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside."
242,How to Train Your Dragon,(2010),98 min,8.1,75        ,"763,931",$217.58M,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
243,The Sound of Music,(1965),172 min,8.1,63        ,"245,433",$163.21M,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
244,"Three Billboards Outside Ebbing, Missouri",(2017),115 min,8.1,88        ,"527,657",$54.51M,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
245,Salinui chueok,(2003),131 min,8.1,82        ,"196,933",$0.01M,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
246,"Lock, Stock and Two Smoking Barrels",(1998),107 min,8.1,66        ,"596,430",$3.90M,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
247,The Deer Hunter,(1978),183 min,8.1,86        ,"347,467",$48.98M,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
248,Warrior,(2011),140 min,8.1,71        ,"482,711",$13.66M,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
249,Hachi: A Dog's Tale,(2009),93 min,8.1,****,"295,927",#236,A college professor bonds with an abandoned dog he takes into his home.
250,The Iron Giant,(1999),86 min,8.1,85        ,"210,470",$23.16M,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
251,Barry Lyndon,(1975),185 min,8.1,89        ,"174,289",#188,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
252,Portrait de la jeune fille en feu,(2019),122 min,8.1,95        ,"99,435",$3.76M,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman."
253,Gran Torino,(2008),116 min,8.1,72        ,"791,113",$148.10M,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself."
254,Million Dollar Baby,(2004),132 min,8.1,86        ,"701,192",$100.49M,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond."
255,Raging Bull,(1980),129 min,8.1,90        ,"364,078",$23.38M,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
256,Tonari no Totoro,(1988),86 min,8.1,86        ,"354,232",$1.11M,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
257,Fa yeung nin wah,(2000),98 min,8.1,87        ,"157,357",$2.73M,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
258,On the Waterfront,(1954),108 min,8.1,91        ,"158,853",$9.60M,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
259,Network,(1976),121 min,8.1,83        ,"163,890",#223,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control."
260,Relatos salvajes,(2014),122 min,8.1,77        ,"205,971",$3.11M,Six short stories that explore the extremities of human behavior involving people in distress.
261,Stalker,(1979),162 min,8.1,85        ,"138,793",$0.23M,A guide leads two men through an area known as the Zone to find a room that grants wishes.
262,Before Sunset,(2004),80 min,8.1,91        ,"274,766",$5.82M,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
263,Cool Hand Luke,(1967),127 min,8.1,92        ,"182,188",$16.22M,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."
264,"Paris, Texas",(1984),145 min,8.1,81        ,"110,983",$2.18M,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
265,La haine,(1995),98 min,8.1,****,"182,148",$0.31M,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
266,Koe no katachi,(2016),130 min,8.1,78        ,"90,491",%^%^%^,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption."
267,Ben-Hur,(1959),212 min,8.1,90        ,"245,632",$74.70M,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge."
268,Det sjunde inseglet,(1957),96 min,8.1,88        ,"190,358",#205,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
269,The Bridge on the River Kwai,(1957),161 min,8.1,87        ,"226,122",$44.91M,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
270,Persona,(1966),85 min,8.1,86        ,"124,062",#245,A nurse is put in charge of a mute actress and finds that their personae are melding together.
271,Amores perros,(2000),154 min,8.1,83        ,"245,819",$5.38M,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
272,The Man Who Shot Liberty Valance,(1962),123 min,8.1,94        ,"79,177",%^%^%^,A senator returns to a Western town for the funeral of an old friend and tells the story of his origins.
273,In the Name of the Father,(1993),133 min,8.1,84        ,"180,256",$25.01M,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
274,The Best Years of Our Lives,(1946),170 min,8.1,93        ,"67,273",$23.65M,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
275,Hotel Rwanda,(2004),121 min,8.1,79        ,"362,489",$23.53M,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
276,Rebecca,(1940),130 min,8.1,86        ,"141,118",$4.36M,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
277,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",(1997),87 min,8.1,****,"58,904",%^%^%^,Concurrent theatrical ending of the TV series Shinseiki Evangelion (1995).
278,The Third Man,(1949),104 min,8.1,97        ,"175,693",$0.45M,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
279,Inherit the Wind,(1960),128 min,8.1,75        ,"31,542",%^%^%^,"Based on a real-life case in 1925, two great lawyers argue the case for and against a Tennessee science teacher accused of the crime of teaching evolution."
280,Paper Moon,(1973),102 min,8.1,77        ,"49,950",$30.93M,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership."
281,The Grapes of Wrath,(1940),129 min,8.1,96        ,"96,371",$0.06M,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
282,All Quiet on the Western Front,(1930),152 min,8.1,91        ,"65,590",$3.27M,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
283,Mary and Max.,(2009),92 min,8.1,****,"181,148",#201,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
284,PK,(2014),153 min,8.1,****,"193,558",$10.62M,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of there religious views on there people.
285,It Happened One Night,(1934),105 min,8.1,87        ,"107,604",$4.36M,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops."
286,Festen,(1998),105 min,8.1,82        ,"90,271",$1.65M,"At Helge's 60th birthday party, some unpleasant family truths are revealed."
287,A Woman Under the Influence,(1974),155 min,8.1,88        ,"26,886",$13.34M,"Although wife and mother Mabel is loved by her husband Nick, her mental illness places a strain on the marriage."
288,Fanny och Alexander,(1982),188 min,8.1,100        ,"65,523",$4.97M,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls."
289,Les quatre cents coups,(1959),99 min,8.1,****,"122,490",#244,"A young boy, left without attention, delves into a life of petty crime."
290,Trois couleurs: Rouge,(1994),99 min,8.1,100        ,"106,540",$4.04M,A model discovers a retired judge is keen on invading people's privacy.
291,Underground,(1995),170 min,8.1,79        ,"59,703",$0.17M,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love, and hate."
292,Ba wang bie ji,(1993),171 min,8.1,83        ,"30,979",$5.22M,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.
293,Andrei Rublev,(1966),205 min,8.1,****,"55,303",$0.10M,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
294,Smultronstället,(1957),91 min,8.1,88        ,"110,266",#190,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
295,The Red Shoes,(1948),135 min,8.1,****,"36,954",$10.90M,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.
296,The Message,(1976),177 min,8.1,****,"49,129",%^%^%^,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.
297,Lagaan: Once Upon a Time in India,(2001),224 min,8.1,84        ,"117,140",$0.07M,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
298,Yi yi,(2000),173 min,8.1,94        ,"26,365",$1.14M,Each member of a middle-class Taipei family seeks to reconcile past and present relationships within their daily lives.
299,Bajrangi Bhaijaan,(2015),163 min,8.1,****,"92,223",$8.18M,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
300,Kis Uykusu,(2014),196 min,8.1,88        ,"53,326",$0.17M,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.
301,Mr. Smith Goes to Washington,(1939),129 min,8.1,73        ,"117,832",$9.60M,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character."
302,Les diaboliques,(1955),117 min,8.1,****,"67,483",$1.09M,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.
303,Kumonosu-jô,(1957),110 min,8.1,****,"53,921",%^%^%^,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle."
304,Ôkami kodomo no Ame to Yuki,(2012),117 min,8.1,71        ,"47,057",%^%^%^,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society."
305,The General,(1926),67 min,8.1,****,"94,118",$1.03M,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
306,Kakushi-toride no san-akunin,(1958),139 min,8.1,89        ,"40,543",%^%^%^,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines."
307,Sunrise: A Song of Two Humans,(1927),94 min,8.1,95        ,"52,420",$0.54M,"A sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city, but he ends up rekindling his romance with his wife when he changes his mind at the last moment."
308,La battaglia di Algeri,(1966),121 min,8.1,96        ,"62,586",$0.06M,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
309,Dil Chahta Hai,(2001),183 min,8.1,****,"73,909",$0.30M,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
310,The Gold Rush,(1925),95 min,8.1,****,"114,158",$5.45M,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
311,Ace in the Hole,(1951),111 min,8.1,72        ,"37,544",$3.97M,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus."
312,Barfi!,(2012),151 min,8.1,****,"84,188",$2.80M,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
313,Le notti di Cabiria,(1957),110 min,8.1,****,"50,478",$0.75M,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.
314,Talvar,(2015),132 min,8.1,****,"36,589",$0.34M,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
315,Du rififi chez les hommes,(1955),118 min,8.1,97        ,"35,661",$0.06M,"Four men plan a technically perfect crime, but the human element intervenes..."
316,White Heat,(1949),114 min,8.1,****,"34,349",%^%^%^,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
317,Jungfrukällan,(1960),89 min,8.1,****,"30,452",$1.53M,"In 14th-century Sweden, an innocent yet pampered teenage girl and her family's pregnant and jealous servant set out from their farm to deliver candles to church, but only one returns from events that transpire in the woods along the way."
318,Masaan,(2015),109 min,8.1,****,"29,399",%^%^%^,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies."
319,Höstsonaten,(1978),99 min,8.1,****,"35,954",%^%^%^,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young."
320,Rang De Basanti,(2006),167 min,8.1,****,"120,583",$2.20M,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
321,Pink,(III) (2016),136 min,8.1,****,"46,544",$1.24M,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names."
322,Da hong denglong gaogao gua,(1991),125 min,8.1,****,"34,019",$2.60M,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household."
323,La Grande Illusion,(1937),113 min,8.1,****,"37,726",$0.17M,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."
324,Dom za vesanje,(1988),142 min,8.1,****,"31,737",$0.28M,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves."
325,Chak De! India,(2007),153 min,8.1,68        ,"82,363",$1.11M,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
326,Queen,(2013),146 min,8.1,****,"67,125",$1.43M,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.
327,Article 15,(2019),130 min,8.1,****,"35,254",%^%^%^,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination."
328,Jean de Florette,(1986),120 min,8.1,****,"26,716",$4.94M,A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell.
329,Sholay,(1975),204 min,8.1,****,"57,190",%^%^%^,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
330,Munna Bhai M.B.B.S.,(2003),156 min,8.1,****,"84,725",%^%^%^,A gangster sets out to fulfill his father's dream of becoming a doctor.
331,Sarfarosh,(1999),174 min,8.1,****,"26,269",%^%^%^,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists."
332,Mandariinid,(2013),87 min,8.1,73        ,"47,592",$0.14M,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in."
333,The Circus,(1928),72 min,8.1,90        ,"34,932",%^%^%^,The Tramp finds work and the girl of his dreams at a circus.
334,OMG: Oh My God!,(2012),125 min,8.1,****,"60,844",$0.92M,A shopkeeper takes God to court when his shop is destroyed by an earthquake.
335,Eskiya,(1996),128 min,8.1,****,"70,931",%^%^%^,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover."
336,Kahaani,(2012),122 min,8.1,****,"64,119",$1.04M,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him."
337,A Wednesday,(2008),104 min,8.1,****,"80,321",%^%^%^,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.
338,Udaan,(2010),134 min,8.1,****,"45,944",$0.01M,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father."
339,Hera Pheri,(2000),156 min,8.1,****,"69,575",%^%^%^,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?"
340,Her Sey Çok Güzel Olacak,(1998),107 min,8.1,****,"26,348",%^%^%^,"When Altan swipes prescription drugs from his brother Nuri's pharmacy, they soon find themselves on a dangerous but funny road trip to get rid of the stuff and escape the mafiosi Altan ...                See full summary »"
341,Black,(2005),122 min,8.1,****,"35,510",$0.73M,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world."
342,Anand,(1971),122 min,8.1,****,"34,473",%^%^%^,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
343,Dune: Part One,(2021),155 min,8.0,74        ,"684,605",$108.33M,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
344,Guardians of the Galaxy,(2014),121 min,8.0,76        ,"1,224,502",$333.18M,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
345,Blade Runner 2049,(2017),164 min,8.0,81        ,"607,125",$92.05M,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
346,Black Swan,(2010),108 min,8.0,79        ,"790,712",$106.95M,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare."
347,Zack Snyder's Justice League,(2021),242 min,8.0,54        ,"415,158",%^%^%^,"Determined to ensure that Superman's ultimate sacrifice wasn't in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions."
348,The Princess Bride,(1987),98 min,8.0,77        ,"436,913",$30.86M,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
349,Deadpool,(2016),108 min,8.0,65        ,"1,071,579",$363.07M,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."
350,Casino Royale,(2006),144 min,8.0,80        ,"672,284",$167.45M,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
351,La La Land,(2016),128 min,8.0,94        ,"617,954",$151.10M,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
352,Blood Diamond,(2006),143 min,8.0,64        ,"565,243",$57.37M,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
353,The Avengers,(2012),143 min,8.0,69        ,"1,419,203",$623.28M,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
354,Her,(2013),126 min,8.0,91        ,"638,134",$25.57M,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
355,Donnie Darko,(2001),113 min,8.0,88        ,"821,217",$1.48M,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes."
356,Zootopia,(2016),108 min,8.0,78        ,"518,392",$341.27M,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
357,CODA,(2021),111 min,8.0,72        ,"147,240",%^%^%^,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents."
358,Dances with Wolves,(1990),181 min,8.0,72        ,"277,437",$184.21M,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose."
359,The Incredibles,(2004),115 min,8.0,90        ,"764,827",$261.44M,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
360,The Martian,(2015),144 min,8.0,80        ,"881,617",$228.43M,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue."
361,Groundhog Day,(1993),101 min,8.0,72        ,"652,760",$70.91M,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right."
362,Sin City,(2005),124 min,8.0,74        ,"780,093",$74.10M,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption."
363,The Imitation Game,(2014),114 min,8.0,71        ,"790,899",$91.13M,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life."
364,Aladdin,(1992),90 min,8.0,86        ,"439,153",$217.35M,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
365,Beauty and the Beast,(1991),84 min,8.0,95        ,"465,744",$218.97M,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
366,The Revenant,(I) (2015),156 min,8.0,76        ,"830,033",$183.64M,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
367,Young Frankenstein,(1974),106 min,8.0,83        ,"163,206",$86.30M,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body."
368,Dog Day Afternoon,(1975),125 min,8.0,86        ,"264,585",$50.00M,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does."
369,Soul,(2020),100 min,8.0,83        ,"347,578",%^%^%^,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
370,Rain Man,(1988),133 min,8.0,65        ,"527,790",$178.80M,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance."
371,Scent of a Woman,(1992),156 min,8.0,59        ,"311,174",$63.90M,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated."
372,Twelve Monkeys,(1995),129 min,8.0,74        ,"630,465",$57.14M,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
373,The Graduate,(1967),106 min,8.0,83        ,"280,589",$104.95M,A disillusioned college graduate finds himself torn between his older lover and her daughter.
374,Magnolia,(1999),188 min,8.0,78        ,"319,976",$22.46M,"An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley."
375,Akira,(1988),124 min,8.0,67        ,"194,384",$0.55M,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics."
376,Rosemary's Baby,(1968),137 min,8.0,96        ,"224,134",%^%^%^,"A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors."
